"Name","Season","GamesPlayed","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"BKN","2018-19",82,8361,9204,2254,4393,0.5130890052356021,1047,2965,0.35311973018549747,0.35505770536320436,1555,2288,2220,2430,711,0.5075421472937001,0.5572333170969314,0.7736389684813754,0.40296276162000544,0.5184939340239912,0.5197743952160914,0.5539298669891173,402,413,0.09401320282267243,19,0.0064080944350758855
"OKC","2018-19",82,8465,9387,2565,5029,0.5100417578047326,932,2677,0.3481509152035861,0.35041446872645066,1461,2316,2814,2277,519,0.45146198830409356,0.491928632115548,0.8143776824034334,0.3473916428756813,0.534439775983329,0.5142745912276149,0.5443163289075239,422,392,0.07794790216742892,23,0.008591707134852447
"SAS","2018-19",82,8067,9156,2656,5177,0.5130384392505312,812,2071,0.3920811202317721,0.39513381995133817,1408,2622,2690,2106,330,0.4935993975903614,0.5301253538212697,0.8645320197044335,0.28573399558498896,0.489671800193718,0.5344922737306843,0.572234762979684,366,314,0.06065288777284141,18,0.008691453404152583
"DAL","2018-19",82,8104,8927,2160,4120,0.5242718446601942,1022,3002,0.34043970686209196,0.3434241506895392,1541,2188,2132,2472,594,0.5064814814814815,0.5494726268206931,0.8062622309197651,0.42151081156978376,0.5197140759565155,0.5185341196293176,0.5536293339985033,338,346,0.08398058252427185,22,0.0073284477015323115
"UTA","2018-19",82,8212,9161,2321,4293,0.5406475658047986,993,2789,0.3560415919684475,0.3582520765619357,1540,2582,2060,2526,453,0.5562257647565705,0.6171128107074569,0.8479355488418933,0.39381530641061846,0.5207979083947817,0.5380542219711946,0.5703300825206301,458,348,0.08106219426974144,28,0.010039440659734672
"LAC","2018-19",82,8378,9442,2563,5060,0.5065217391304347,821,2118,0.3876298394711992,0.39095238095238094,1853,2546,2580,2091,372,0.4966835739367928,0.5380388841927304,0.8489646772228989,0.2950682641404291,0.5059334078524521,0.5286291446085261,0.5736713500305437,394,481,0.09505928853754941,17,0.008026440037771483
"DET","2015-16",82,7854,8361,2371,4939,0.4800566916379834,740,2148,0.34450651769087526,0.34973970657832465,1399,2000,2742,1782,438,0.42176296921130324,0.45745654162854527,0.8027027027027027,0.3030901650910117,0.5195719846569115,0.4911810356991675,0.5200324513230155,370,351,0.0710670176149018,15,0.006983240223463687
"WAS","2018-19",82,8388,9350,2526,4656,0.5425257731958762,930,2731,0.34053460270963015,0.34204712812960236,1508,2694,2358,2421,369,0.5332541567695962,0.5813552006905481,0.867741935483871,0.36970353323405986,0.5201473794976239,0.5307973466901313,0.5665329930732774,418,365,0.078393470790378,13,0.004760161113145368
"ORL","2014-15",82,7690,7847,2522,5194,0.4855602618405853,554,1598,0.34668335419274093,0.3501896333754741,1141,2422,2622,1443,219,0.4801744647105472,0.5309074967119685,0.868231046931408,0.23527679623085984,0.5051117838157118,0.49366902237926974,0.5230430136254341,482,436,0.08394301116673085,5,0.0031289111389236545
"SAS","2014-15",82,7804,8461,2531,5007,0.5054923107649291,677,1847,0.36654033567948024,0.3689373297002725,1368,2754,2308,1869,162,0.5440537337020941,0.5759096612296111,0.9202363367799113,0.26947767726874816,0.5040528529626921,0.5174350744091042,0.55311884438608,280,347,0.06930297583383263,15,0.008121277747698972
"OKC","2014-15",82,7909,8524,2552,5255,0.4856327307326356,632,1864,0.33905579399141633,0.34143706104808214,1524,2352,2752,1515,381,0.4608150470219436,0.5060240963855421,0.7990506329113924,0.261834527321253,0.5147302422194058,0.4916420845624385,0.5299300174956261,456,366,0.06964795432921028,11,0.005901287553648069
"TOR","2014-15",82,7668,8527,2382,4769,0.49947578108618157,726,2060,0.3524271844660194,0.35431918008784774,1585,2266,2498,1704,474,0.47565071368597817,0.5180612711476908,0.7823691460055097,0.3016547078635232,0.4987741596947013,0.5082735393176161,0.5509727626459144,390,397,0.0832459635143636,16,0.007766990291262136
